review,rating,date,source,url
OMGGG ❤❤ SKYEEE PINKPAMTHERESSS EVERYONEEE AUNTIEEEE,,2025-12-08T21:49:43Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyUknkx1febH6NcYuN4AaABAg
The absolute state of this.,,2025-12-03T20:29:48Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxtF6C6N9EQyjTqwN54AaABAg
"@spotify, your animators and designers deserve a raise for this year wrapped",,2025-12-05T19:57:58Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwdNkqrEDH5vpbyOFJ4AaABAg
Mine ain't even showing. Says they don't have a wrapped for me. I deadasss play spotify almost everytime.,,2025-12-03T17:52:36Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugzlg_0esjGg-XZjFMF4AaABAg
The COVER GIRL Miss JADE 🙏🏼🫶🏼,,2025-12-03T15:21:39Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzuP-dpoNpNQPlHSOh4AaABAg
Wrapped gonna be lit!,,2025-12-03T15:28:30Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyNM6qr3TNS7rpPi994AaABAg
AGE IS NOT JUST A NUMBER,,2025-12-10T13:56:28Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzIHErHGY-fbdR_DcF4AaABAg
Thanks Spotify UK for including JADE ❤✨,,2025-12-04T01:13:52Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxNIwCdlvc84eBcv1h4AaABAg
"DAMN, putting Nemzzz in here is crazy🔥",,2025-12-04T11:02:12Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugy4f4u05Y46qO-FFVV4AaABAg
"JADE, your day-ones are screaming! well deserved! ❤",,2025-12-03T18:36:22Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxJWUPqrQyP4t4patF4AaABAg
"Cench, Nemzzz and Ed are in my top songs of 2025",,2025-12-03T18:57:35Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzxjOWyMWe0eYpAI0l4AaABAg
So when is it coming??,,2025-12-03T14:55:22Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxKsOkOMVAiOMb_GBh4AaABAg
NEMZZZZZZZZZZZZZZZZZZZZZZZZZ OMFG,,2025-12-04T13:20:32Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugx38PwKjHSac4wXrz54AaABAg
