review,rating,date,source,url
Worst app. Worst music app ever,1,2026-07-02T02:02:17-07:00,Apple App Store,
"Best for djs. Crossfade,bpm,suggestions",5,2026-07-02T00:40:34-07:00,Apple App Store,
On premium. You are giving so much pressure to take premium what should we do if we are poor or liable to someone,1,2026-07-02T00:11:35-07:00,Apple App Store,
Very good but will be the best if there are some limited amount of ads,5,2026-07-02T00:08:30-07:00,Apple App Store,
Advertisement. Don’t send the ad plz I love your Spotify,5,2026-07-01T23:33:57-07:00,Apple App Store,
Spotify is offline. Whenever I connect the phone in apple car play Spotify shows offline and doesn’t let me play Tried uninstalling also didn’t work,1,2026-07-01T22:45:29-07:00,Apple App Store,
"Too much promotion. At Spotify was good but now too much advertisement and can’t play next song of our likes, Spotify is turning too much to commercial purposes.",2,2026-07-01T22:34:20-07:00,Apple App Store,
awsm app. bhut bdhiya,5,2026-07-01T20:38:50-07:00,Apple App Store,
Sai Poothotta. Great for musical enjoyment,5,2026-07-01T19:17:11-07:00,Apple App Store,
Ads issue. Dawg indian spotify genuinely needs to works on reducing their ads like cmon gng who on earth wanna listen to 2-3 songs without any skips nd always instantly pops up 2-3 ads inna arow boa slow down advertising all these unkown artist😂✌🏽,2,2026-07-01T14:24:51-07:00,Apple App Store,
bc yeh har cheez mai add dalna band kro aur suscriptiok chikana bhi. samjhee,3,2026-07-01T14:06:57-07:00,Apple App Store,
skip option. why 6 skips in hour only?,2,2026-07-01T12:38:29-07:00,Apple App Store,
Free option really sucks. Yeah it suck’s daily limit on everything and give me my full 30 min ad free listening time after a ad bruh,3,2026-07-01T12:28:26-07:00,Apple App Store,
Overall. Outstanding 10/10,5,2026-07-01T12:05:49-07:00,Apple App Store,
wonderfull. ❤️❤️❤️❤️,5,2026-07-01T10:26:19-07:00,Apple App Store,
"Kanika kohli. Bad experience, no choice of repeating and no choice or playing music as per listener. Who are you to decide what song will be played next. Means clearly no sense or using this app again. We have n numbers of app who will play our song without forcing us to pay for the same.",1,2026-07-01T08:19:29-07:00,Apple App Store,
Best song listening app. Easy to use best play list cheap premium…,5,2026-07-01T07:39:07-07:00,Apple App Store,
Worst audio quality vs Amazon Spatial Audio. Poor,1,2026-07-01T07:23:08-07:00,Apple App Store,
"Trash can’t even select a don’t. Spotify is just into taking people’s money , we can’t even select the songs , everything was going great until u can’t skip a song and u can’t select a song , I app deleted from my device which is Spotify , I had high hopes from u. Can’t give a half star because it is not working or I would have given u 0 , frisking trash app now.",1,2026-07-01T07:15:58-07:00,Apple App Store,
Phenomenal. Supercalifragilisticexpialidocious,5,2026-07-01T05:52:51-07:00,Apple App Store,
